ISO3,Country,2015
MAR,Morocco,28.09
MAR,Morocco,28.3
THA,Thailand,28.43
BWA,Botswana,28.44
LSO,Lesotho,28.58
LSO,Lesotho,28.8
NAM,Namibia,28.88
SLV,El Salvador,29.28
SLV,El Salvador,29.42
SLV,El Salvador,29.59
BIH,Bosnia and Herzegovina,29.9
PER,Peru,29.93
ZMB,Zambia,30.02
LSO,Lesotho,30.16
TUN,Tunisia,30.36
GTM,Guatemala,30.44
SUR,Suriname,30.58
TUN,Tunisia,30.65
TJK,Tajikistan,30.66
MMR,Myanmar,30.77
GTM,Guatemala,30.78
MMR,Myanmar,30.85
ZAF,South Africa,30.88
MMR,Myanmar,31.14
GTM,Guatemala,31.23
TUN,Tunisia,31.33
LBN,Lebanon,31.34
MKD,The former Yugoslav Republic of Macedonia,31.51
ETH,Ethiopia,31.53
MNG,Mongolia,31.96
ZMB,Zambia,31.99
UZB,Uzbekistan,32.22
LBN,Lebanon,32.27
TKM,Turkmenistan,32.28
LBN,Lebanon,32.3
ETH,Ethiopia,32.37
ETH,Ethiopia,32.68
PER,Peru,32.69
BIH,Bosnia and Herzegovina,32.71
ARM,Armenia,32.76
ZMB,Zambia,32.92
DZA,Algeria,33.52
TJK,Tajikistan,33.84
JOR,Jordan,33.99
DZA,Algeria,34.37
JOR,Jordan,34.52
IRN,Iran (Islamic Republic of),34.54
ERI,Eritrea,35.31
IRN,Iran (Islamic Republic of),35.5
MKD,The former Yugoslav Republic of Macedonia,35.73
BDI,Burundi,35.74
BDI,Burundi,35.95
IRN,Iran (Islamic Republic of),36.26
BDI,Burundi,36.31
SSD,South Sudan,36.47
BTN,Bhutan,36.59
SSD,South Sudan,36.67
SSD,South Sudan,36.7
SYR,Syrian Arab Republic,36.99
STP,Sao Tome and Principe,37.01
BTN,Bhutan,37.24
ERI,Eritrea,37.29
BTN,Bhutan,37.4
STP,Sao Tome and Principe,37.43
AGO,Angola,37.64
DZA,Algeria,37.65
STP,Sao Tome and Principe,37.77
TUR,Turkey,38.05
ERI,Eritrea,38.06
AGO,Angola,38.1
RWA,Rwanda,38.29
RWA,Rwanda,38.38
RWA,Rwanda,38.43
TUR,Turkey,38.59
SYR,Syrian Arab Republic,38.94
AGO,Angola,39.17
DJI,Djibouti,39.19
GAB,Gabon,39.3
BEN,Benin,39.3
DJI,Djibouti,39.34
TUR,Turkey,39.47
GAB,Gabon,39.48
DJI,Djibouti,39.52
MNG,Mongolia,39.58
JOR,Jordan,39.66
GAB,Gabon,39.67
PRK,Democratic People's Republic of Korea,40.39
LBY,Libya,40.5
COG,Congo,40.77
UGA,Uganda,40.81
UGA,Uganda,41.44
COD,Democratic Republic of the Congo,41.95
COG,Congo,42.28
COD,Democratic Republic of the Congo,42.35
BEN,Benin,42.85
